date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:56	23604/23604	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wcsncat/	www.cplusplus.com/reference/cwchar/wcsncat/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:51:58	24319/24319	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wcsncmp/	www.cplusplus.com/reference/cwchar/wcsncmp/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:51:58	24391/24391	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wcsncpy/	www.cplusplus.com/reference/cwchar/wcsncpy/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:51:58	24471/24471	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wcspbrk/	www.cplusplus.com/reference/cwchar/wcspbrk/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:51:58	23783/23783	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wcsrchr/	www.cplusplus.com/reference/cwchar/wcsrchr/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:51:59	2549/2549	---MC-	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2012:51:58%20GMT	https://www.cplusplus.com/reference/new.cgi?a=queue	www.cplusplus.com/reference/new79b3.html	(from https://www.cplusplus.com/reference/queue/)
14:51:59	23962/23962	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wcsstr/	www.cplusplus.com/reference/cwchar/wcsstr/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:51:59	23693/23693	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wcsspn/	www.cplusplus.com/reference/cwchar/wcsspn/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:51:59	24637/24637	---MC-	200	added ('OK')	text/html	etag:1606858285	https://www.cplusplus.com/reference/cwchar/wcstok/	www.cplusplus.com/reference/cwchar/wcstok/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:52:01	2566/2566	---MC-	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2012:52:00%20GMT	https://www.cplusplus.com/reference/edit.cgi?a=queue	www.cplusplus.com/reference/edit79b3.html	(from https://www.cplusplus.com/reference/queue/)
14:52:01	23189/23189	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wcsxfrm/	www.cplusplus.com/reference/cwchar/wcsxfrm/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:52:01	24204/24204	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wmemchr/	www.cplusplus.com/reference/cwchar/wmemchr/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:52:01	24705/24705	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wmemcmp/	www.cplusplus.com/reference/cwchar/wmemcmp/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:52:01	23832/23832	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wmemcpy/	www.cplusplus.com/reference/cwchar/wmemcpy/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:52:02	1460/1460	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jul%202021%2012:52:02%20GMT	https://www.cplusplus.com/reference/delete.cgi?a=queue	www.cplusplus.com/reference/delete79b3.cgi	(from https://www.cplusplus.com/reference/queue/)
14:52:04	23955/23955	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wmemmove/	www.cplusplus.com/reference/cwchar/wmemmove/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:52:04	23177/23177	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wmemset/	www.cplusplus.com/reference/cwchar/wmemset/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:52:04	23947/23947	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wcsftime/	www.cplusplus.com/reference/cwchar/wcsftime/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:52:04	22630/22630	---MC-	200	added ('OK')	text/html	etag:1413797476	https://www.cplusplus.com/reference/cwchar/mbstate_t/	www.cplusplus.com/reference/cwchar/mbstate_t/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:52:06	21307/21307	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/size_t/	www.cplusplus.com/reference/cwchar/size_t/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:52:06	21308/21308	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/wchar_t/	www.cplusplus.com/reference/cwchar/wchar_t/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:52:06	21599/21599	---MC-	200	added ('OK')	text/html	etag:1403693824	https://www.cplusplus.com/reference/cwchar/wint_t/	www.cplusplus.com/reference/cwchar/wint_t/index.html	(from https://www.cplusplus.com/reference/cwchar/)
14:52:06	24635/24635	---MC-	200	added ('OK')	text/html	etag:1386155017	https://www.cplusplus.com/reference/cwchar/tm/	www.cplusplus.com/reference/cwchar/tm/index.html	(from https://www.cplusplus.com/reference/cwchar/)
