date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:37	705/705	---M--	200	added ('OK')	imqge.png	etag:1385564502	https://www.cplusplus.com/doc/tutorial/arrays/arrays3.png	www.cplusplus.com/doc/tutorial/arrays/arrays3.png	(from https://www.cplusplus.com/doc/tutorial/arrays/)
14:46:38	623/623	---M--	200	added ('OK')	imqge.png	etag:1385564502	https://www.cplusplus.com/doc/tutorial/arrays/arrays4.png	www.cplusplus.com/doc/tutorial/arrays/arrays4.png	(from https://www.cplusplus.com/doc/tutorial/arrays/)
14:46:39	567/567	---M--	200	added ('OK')	imqge.png	etag:1387788622	https://www.cplusplus.com/doc/tutorial/arrays/arrays5.png	www.cplusplus.com/doc/tutorial/arrays/arrays5.png	(from https://www.cplusplus.com/doc/tutorial/arrays/)
14:46:40	383/383	---M--	200	added ('OK')	imqge.png	etag:1385566416	https://www.cplusplus.com/doc/tutorial/arrays/bidimensional_arrays1.png	www.cplusplus.com/doc/tutorial/arrays/bidimensional_arrays1.png	(from https://www.cplusplus.com/doc/tutorial/arrays/)
14:46:41	656/656	---M--	200	added ('OK')	imqge.png	etag:1385566416	https://www.cplusplus.com/doc/tutorial/arrays/bidimensional_arrays2.png	www.cplusplus.com/doc/tutorial/arrays/bidimensional_arrays2.png	(from https://www.cplusplus.com/doc/tutorial/arrays/)
14:46:42	635/635	---M--	200	added ('OK')	imqge.png	etag:1385566416	https://www.cplusplus.com/doc/tutorial/arrays/bidimensional_arrays3.png	www.cplusplus.com/doc/tutorial/arrays/bidimensional_arrays3.png	(from https://www.cplusplus.com/doc/tutorial/arrays/)
14:46:43	202/202	---M--	200	added ('OK')	imqge.png	etag:1385568003	https://www.cplusplus.com/doc/tutorial/ntcs/c_strings1.png	www.cplusplus.com/doc/tutorial/ntcs/c_strings1.png	(from https://www.cplusplus.com/doc/tutorial/ntcs/)
14:46:44	615/615	---M--	200	added ('OK')	imqge.png	etag:1385568003	https://www.cplusplus.com/doc/tutorial/ntcs/c_strings2.png	www.cplusplus.com/doc/tutorial/ntcs/c_strings2.png	(from https://www.cplusplus.com/doc/tutorial/ntcs/)
14:46:45	988/988	---M--	200	added ('OK')	imqge.png	etag:1385570861	https://www.cplusplus.com/doc/tutorial/pointers/reference_operator.png	www.cplusplus.com/doc/tutorial/pointers/reference_operator.png	(from https://www.cplusplus.com/doc/tutorial/pointers/)
14:46:46	921/921	---M--	200	added ('OK')	imqge.png	etag:1385571113	https://www.cplusplus.com/doc/tutorial/pointers/dereference_operator.png	www.cplusplus.com/doc/tutorial/pointers/dereference_operator.png	(from https://www.cplusplus.com/doc/tutorial/pointers/)
14:46:47	1093/1093	---M--	200	added ('OK')	imqge.png	etag:1385636475	https://www.cplusplus.com/doc/tutorial/pointers/pointer_arithmetics.png	www.cplusplus.com/doc/tutorial/pointers/pointer_arithmetics.png	(from https://www.cplusplus.com/doc/tutorial/pointers/)
14:46:48	622/622	---M--	200	added ('OK')	imqge.png	etag:1385636475	https://www.cplusplus.com/doc/tutorial/pointers/pointer_assignment.png	www.cplusplus.com/doc/tutorial/pointers/pointer_assignment.png	(from https://www.cplusplus.com/doc/tutorial/pointers/)
14:46:49	539/539	---M--	200	added ('OK')	imqge.png	etag:1385636475	https://www.cplusplus.com/doc/tutorial/pointers/pointer_to_pointer.png	www.cplusplus.com/doc/tutorial/pointers/pointer_to_pointer.png	(from https://www.cplusplus.com/doc/tutorial/pointers/)
14:46:50	280/280	---M--	200	added ('OK')	imqge.png	etag:1385645391	https://www.cplusplus.com/doc/tutorial/dynamic/dynamic.png	www.cplusplus.com/doc/tutorial/dynamic/dynamic.png	(from https://www.cplusplus.com/doc/tutorial/dynamic/)
14:46:51	657/657	---M--	200	added ('OK')	imqge.png	etag:1385649995	https://www.cplusplus.com/doc/tutorial/other_data_types/union.png	www.cplusplus.com/doc/tutorial/other_data_types/union.png	(from https://www.cplusplus.com/doc/tutorial/other_data_types/)
14:46:52	921/921	---M--	200	added ('OK')	imqge.png	etag:1385719841	https://www.cplusplus.com/doc/tutorial/inheritance/inheritance.png	www.cplusplus.com/doc/tutorial/inheritance/inheritance.png	(from https://www.cplusplus.com/doc/tutorial/inheritance/)
14:46:53	27195/27195	---M--	200	added ('OK')	imqge.png	etag:1385367671	https://www.cplusplus.com/doc/tutorial/introduction/codeblocks/codeblocks1.png	www.cplusplus.com/doc/tutorial/introduction/codeblocks/codeblocks1.png	(from https://www.cplusplus.com/doc/tutorial/introduction/codeblocks/)
14:46:55	64388/64388	---M--	200	added ('OK')	imqge.png	etag:1385367671	https://www.cplusplus.com/doc/tutorial/introduction/codeblocks/codeblocks2.png	www.cplusplus.com/doc/tutorial/introduction/codeblocks/codeblocks2.png	(from https://www.cplusplus.com/doc/tutorial/introduction/codeblocks/)
14:46:56	18903/18903	---M--	200	added ('OK')	imqge.png	etag:1385371796	https://www.cplusplus.com/doc/tutorial/introduction/visualstudio/vse1.png	www.cplusplus.com/doc/tutorial/introduction/visualstudio/vse1.png	(from https://www.cplusplus.com/doc/tutorial/introduction/visualstudio/)
14:46:56	37198/37198	---M--	200	added ('OK')	imqge.png	etag:1385371796	https://www.cplusplus.com/doc/tutorial/introduction/visualstudio/vse2.png	www.cplusplus.com/doc/tutorial/introduction/visualstudio/vse2.png	(from https://www.cplusplus.com/doc/tutorial/introduction/visualstudio/)
14:46:57	18046/18046	---M--	200	added ('OK')	imqge.png	etag:1385371796	https://www.cplusplus.com/doc/tutorial/introduction/visualstudio/vse3.png	www.cplusplus.com/doc/tutorial/introduction/visualstudio/vse3.png	(from https://www.cplusplus.com/doc/tutorial/introduction/visualstudio/)
14:46:58	24172/24172	---M--	200	added ('OK')	imqge.png	etag:1385371796	https://www.cplusplus.com/doc/tutorial/introduction/visualstudio/vse4.png	www.cplusplus.com/doc/tutorial/introduction/visualstudio/vse4.png	(from https://www.cplusplus.com/doc/tutorial/introduction/visualstudio/)
14:47:00	102156/102156	---M--	200	added ('OK')	imqge.png	etag:1385371796	https://www.cplusplus.com/doc/tutorial/introduction/visualstudio/vse5.png	www.cplusplus.com/doc/tutorial/introduction/visualstudio/vse5.png	(from https://www.cplusplus.com/doc/tutorial/introduction/visualstudio/)
14:47:01	48619/48619	---M--	200	added ('OK')	imqge.png	etag:1385371796	https://www.cplusplus.com/doc/tutorial/introduction/visualstudio/vse6.png	www.cplusplus.com/doc/tutorial/introduction/visualstudio/vse6.png	(from https://www.cplusplus.com/doc/tutorial/introduction/visualstudio/)
14:47:01	14028/14028	---M--	200	added ('OK')	imqge.png	etag:1385365228	https://www.cplusplus.com/doc/tutorial/introduction/devcpp/devcpp1.png	www.cplusplus.com/doc/tutorial/introduction/devcpp/devcpp1.png	(from https://www.cplusplus.com/doc/tutorial/introduction/devcpp/)
14:47:02	27956/27956	---M--	200	added ('OK')	imqge.png	etag:1385365228	https://www.cplusplus.com/doc/tutorial/introduction/devcpp/devcpp2.png	www.cplusplus.com/doc/tutorial/introduction/devcpp/devcpp2.png	(from https://www.cplusplus.com/doc/tutorial/introduction/devcpp/)
